jahr;bfsnr;ort;anlage;rubrik;thema;wert;einheit
2001;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;19567;MWh
2001;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;108341;MWh
2001;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;302611;MWh
2001;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;88370;MWh
2001;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;18262;MWh
2001;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;47321;MWh
2002;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;17400;MWh
2002;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;107002;MWh
2002;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;325711;MWh
2002;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;91484;MWh
2002;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;18048;MWh
2002;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;66262;MWh
2003;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;20020;MWh
2003;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;90029;MWh
2003;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;309934;MWh
2003;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;97919;MWh
2003;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;19824;MWh
2003;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;47839;MWh
2004;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;18481;MWh
2004;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;102480;MWh
2004;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;299146;MWh
2004;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;100642;MWh
2004;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;19734;MWh
2004;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48040;MWh
2005;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;20274;MWh
2005;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;93207;MWh
2005;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;313901;MWh
2005;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;96593;MWh
2005;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;21123;MWh
2005;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48142;MWh
2006;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;21631;MWh
2006;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;100546;MWh
2006;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;338864;MWh
2006;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;97933;MWh
2006;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;20642;MWh
2006;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48432;MWh
2007;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;19436;MWh
2007;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;92510;MWh
2007;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;318597;MWh
2007;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;86362;MWh
2007;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;21018;MWh
2007;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;40753;MWh
2008;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;20481;MWh
2008;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;84752;MWh
2008;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;306620;MWh
2008;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;102384;MWh
2008;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;23400;MWh
2008;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;45637;MWh
2009;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;26223;MWh
2009;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;88726;MWh
2009;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;327514;MWh
2009;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;99183;MWh
2009;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;24079;MWh
2009;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;44671;MWh
2010;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;40754;MWh
2010;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;102068;MWh
2010;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;366260;MWh
2010;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;120744;MWh
2010;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;25243;MWh
2010;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;47848;MWh
2011;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;42403;MWh
2011;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;83633;MWh
2011;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;399874;MWh
2011;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;113433;MWh
2011;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;22208;MWh
2011;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;42007;MWh
2012;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;38819;MWh
2012;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;89026;MWh
2012;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;423164;MWh
2012;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;117348;MWh
2012;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;23271;MWh
2012;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;46939;MWh
2013;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;41225;MWh
2013;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;92895;MWh
2013;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;403736;MWh
2013;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;141284;MWh
2013;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;23930;MWh
2013;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48427;MWh
2014;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;37415;MWh
2014;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;88274;MWh
2014;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;420710;MWh
2014;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;116568;MWh
2014;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;23335;MWh
2014;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;39440;MWh
2015;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;56583;MWh
2015;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;104237;MWh
2015;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;434965;MWh
2015;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;147438;MWh
2015;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;25912;MWh
2015;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;38171;MWh
2016;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;62015;MWh
2016;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;102088;MWh
2016;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;427667;MWh
2016;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;175288;MWh
2016;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;26752;MWh
2016;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;37169;MWh
2017;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;57644;MWh
2017;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;111946;MWh
2017;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;420738;MWh
2017;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;171022;MWh
2017;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;25520;MWh
2017;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;40791;MWh
2018;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;60391;MWh
2018;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;111272;MWh
2018;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;419217;MWh
2018;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;167119;MWh
2018;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;33148;MWh
2018;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;38623;MWh
2019;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;59127;MWh
2019;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;103598;MWh
2019;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;450052;MWh
2019;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;182824;MWh
2019;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;65334;MWh
2019;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;41384;MWh
2020;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;57258;MWh
2020;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;105065;MWh
2020;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;444768;MWh
2020;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;184727;MWh
2020;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;74540;MWh
2020;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;43756;MWh
2021;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;61870;MWh
2021;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;474162;MWh
2021;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;201812;MWh
2021;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;99029;MWh
2021;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;46222;MWh
2022;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;49212;MWh
2022;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;417981;MWh
2022;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;178347;MWh
2022;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;102086;MWh
2022;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;43344;MWh
2001;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;89180;MWh
2001;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;47727;MWh
2001;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;32227;MWh
2001;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;76145;MWh
2001;243;Dietikon;KV Limeco;KVA;Stromproduktion;57062;MWh
2001;295;Horgen;KVA Horgen;KVA;Stromproduktion;19868;MWh
2002;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;99354;MWh
2002;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;56993;MWh
2002;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;32728;MWh
2002;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;76678;MWh
2002;243;Dietikon;KV Limeco;KVA;Stromproduktion;57291;MWh
2002;295;Horgen;KVA Horgen;KVA;Stromproduktion;19882;MWh
2003;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;102929;MWh
2003;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;41964;MWh
2003;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;30459;MWh
2003;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;67135;MWh
2003;243;Dietikon;KV Limeco;KVA;Stromproduktion;60361;MWh
2003;295;Horgen;KVA Horgen;KVA;Stromproduktion;18832;MWh
2004;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;98698;MWh
2004;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;38301;MWh
2004;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;29384;MWh
2004;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;86385;MWh
2004;243;Dietikon;KV Limeco;KVA;Stromproduktion;54381;MWh
2004;295;Horgen;KVA Horgen;KVA;Stromproduktion;20789;MWh
2005;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;113238;MWh
2005;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;57936;MWh
2005;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;33656;MWh
2005;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;85701;MWh
2005;243;Dietikon;KV Limeco;KVA;Stromproduktion;53480;MWh
2005;295;Horgen;KVA Horgen;KVA;Stromproduktion;20056;MWh
2006;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;115549;MWh
2006;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;70439;MWh
2006;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;58131;MWh
2006;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;92731;MWh
2006;243;Dietikon;KV Limeco;KVA;Stromproduktion;66022;MWh
2006;295;Horgen;KVA Horgen;KVA;Stromproduktion;20852;MWh
2007;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;113455;MWh
2007;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;67023;MWh
2007;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;72399;MWh
2007;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;76887;MWh
2007;243;Dietikon;KV Limeco;KVA;Stromproduktion;60113;MWh
2007;295;Horgen;KVA Horgen;KVA;Stromproduktion;23664;MWh
2008;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;114516;MWh
2008;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;71693;MWh
2008;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;65714;MWh
2008;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;91320;MWh
2008;243;Dietikon;KV Limeco;KVA;Stromproduktion;61190;MWh
2008;295;Horgen;KVA Horgen;KVA;Stromproduktion;26904;MWh
2009;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;116704;MWh
2009;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;63071;MWh
2009;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;89798;MWh
2009;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;57558;MWh
2009;243;Dietikon;KV Limeco;KVA;Stromproduktion;64593;MWh
2009;295;Horgen;KVA Horgen;KVA;Stromproduktion;27449;MWh
2010;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;113113;MWh
2010;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;69873;MWh
2010;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;92073;MWh
2010;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;43219;MWh
2010;243;Dietikon;KV Limeco;KVA;Stromproduktion;62151;MWh
2010;295;Horgen;KVA Horgen;KVA;Stromproduktion;27322;MWh
2011;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;123308;MWh
2011;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;45906;MWh
2011;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;119349;MWh
2011;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;42931;MWh
2011;243;Dietikon;KV Limeco;KVA;Stromproduktion;65698;MWh
2011;295;Horgen;KVA Horgen;KVA;Stromproduktion;28656;MWh
2012;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;123522;MWh
2012;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;46132;MWh
2012;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;107491;MWh
2012;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;82586;MWh
2012;243;Dietikon;KV Limeco;KVA;Stromproduktion;63989;MWh
2012;295;Horgen;KVA Horgen;KVA;Stromproduktion;28207;MWh
2013;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;123695;MWh
2013;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;45033;MWh
2013;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;121099;MWh
2013;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;117761;MWh
2013;243;Dietikon;KV Limeco;KVA;Stromproduktion;64016;MWh
2013;295;Horgen;KVA Horgen;KVA;Stromproduktion;28003;MWh
2014;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;123913;MWh
2014;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;48488;MWh
2014;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;125473;MWh
2014;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;109741;MWh
2014;243;Dietikon;KV Limeco;KVA;Stromproduktion;66782;MWh
2014;295;Horgen;KVA Horgen;KVA;Stromproduktion;29549;MWh
2015;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;113394;MWh
2015;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;46374;MWh
2015;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;116769;MWh
2015;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;134087;MWh
2015;243;Dietikon;KV Limeco;KVA;Stromproduktion;65232;MWh
2015;295;Horgen;KVA Horgen;KVA;Stromproduktion;13753;MWh
2016;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;132140;MWh
2016;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;44748;MWh
2016;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;127329;MWh
2016;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;135626;MWh
2016;243;Dietikon;KV Limeco;KVA;Stromproduktion;70431;MWh
2016;295;Horgen;KVA Horgen;KVA;Stromproduktion;16466;MWh
2017;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;134428;MWh
2017;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;45366;MWh
2017;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;127257;MWh
2017;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;135682;MWh
2017;243;Dietikon;KV Limeco;KVA;Stromproduktion;67333;MWh
2017;295;Horgen;KVA Horgen;KVA;Stromproduktion;23074;MWh
2018;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;124558;MWh
2018;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;45128;MWh
2018;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;127429;MWh
2018;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;120314;MWh
2018;243;Dietikon;KV Limeco;KVA;Stromproduktion;68160;MWh
2018;295;Horgen;KVA Horgen;KVA;Stromproduktion;22814;MWh
2019;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;130286;MWh
2019;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;46658;MWh
2019;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;126508;MWh
2019;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;135148;MWh
2019;243;Dietikon;KV Limeco;KVA;Stromproduktion;61841;MWh
2019;295;Horgen;KVA Horgen;KVA;Stromproduktion;22687;MWh
2020;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;133913;MWh
2020;261;Zürich;ERZ Josefstrasse;KVA;Stromproduktion;46118;MWh
2020;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;126866;MWh
2020;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;132257;MWh
2020;243;Dietikon;KV Limeco;KVA;Stromproduktion;60361;MWh
2020;295;Horgen;KVA Horgen;KVA;Stromproduktion;23346;MWh
2021;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;133454;MWh
2021;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;96652;MWh
2021;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;121499;MWh
2021;243;Dietikon;KV Limeco;KVA;Stromproduktion;57285;MWh
2021;295;Horgen;KVA Horgen;KVA;Stromproduktion;22090;MWh
2022;117;Hinwil;KEZO Hinwil;KVA;Stromproduktion;119469;MWh
2022;261;Zürich;ERZ Hagenholz;KVA;Stromproduktion;76373;MWh
2022;230;Winterthur;KVA Winterthur;KVA;Stromproduktion;114099;MWh
2022;243;Dietikon;KV Limeco;KVA;Stromproduktion;54806;MWh
2022;295;Horgen;KVA Horgen;KVA;Stromproduktion;22288;MWh
2009;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;91431;MWh
2009;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;43439;MWh
2009;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;73886;MWh
2009;;Winterthur;KVA Winterthur;KVA;Stromabsatz;41613;MWh
2009;;Dietikon;KV Limeco;KVA;Stromabsatz;50687;MWh
2009;;Horgen;KVA Horgen;KVA;Stromabsatz;18192;MWh
2010;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;89089;MWh
2010;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;49904;MWh
2010;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;68691;MWh
2010;;Winterthur;KVA Winterthur;KVA;Stromabsatz;31585;MWh
2010;;Dietikon;KV Limeco;KVA;Stromabsatz;47919;MWh
2010;;Horgen;KVA Horgen;KVA;Stromabsatz;18131;MWh
2011;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;98781;MWh
2011;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;32098;MWh
2011;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;92843;MWh
2011;;Winterthur;KVA Winterthur;KVA;Stromabsatz;30420;MWh
2011;;Dietikon;KV Limeco;KVA;Stromabsatz;48954;MWh
2011;;Horgen;KVA Horgen;KVA;Stromabsatz;19382;MWh
2012;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;99645;MWh
2012;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;32328;MWh
2012;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;82477;MWh
2012;;Winterthur;KVA Winterthur;KVA;Stromabsatz;64154;MWh
2012;;Dietikon;KV Limeco;KVA;Stromabsatz;48976;MWh
2012;;Horgen;KVA Horgen;KVA;Stromabsatz;19033;MWh
2013;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;102441;MWh
2013;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;31413;MWh
2013;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;96570;MWh
2013;;Winterthur;KVA Winterthur;KVA;Stromabsatz;89136;MWh
2013;;Dietikon;KV Limeco;KVA;Stromabsatz;50627;MWh
2013;;Horgen;KVA Horgen;KVA;Stromabsatz;18862;MWh
2014;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;102341;MWh
2014;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;33837;MWh
2014;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;101598;MWh
2014;;Winterthur;KVA Winterthur;KVA;Stromabsatz;89204;MWh
2014;;Dietikon;KV Limeco;KVA;Stromabsatz;53094;MWh
2014;;Horgen;KVA Horgen;KVA;Stromabsatz;20463;MWh
2015;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;91368;MWh
2015;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;31909;MWh
2015;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;95197;MWh
2015;;Winterthur;KVA Winterthur;KVA;Stromabsatz;109850;MWh
2015;;Dietikon;KV Limeco;KVA;Stromabsatz;51773;MWh
2015;;Horgen;KVA Horgen;KVA;Stromabsatz;8839;MWh
2016;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;110190;MWh
2016;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;30677;MWh
2016;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;104570;MWh
2016;;Winterthur;KVA Winterthur;KVA;Stromabsatz;108663;MWh
2016;;Dietikon;KV Limeco;KVA;Stromabsatz;55517;MWh
2016;;Horgen;KVA Horgen;KVA;Stromabsatz;12603;MWh
2017;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;112274;MWh
2017;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;30757;MWh
2017;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;104002;MWh
2017;;Winterthur;KVA Winterthur;KVA;Stromabsatz;108547;MWh
2017;;Dietikon;KV Limeco;KVA;Stromabsatz;53305;MWh
2017;;Horgen;KVA Horgen;KVA;Stromabsatz;18954;MWh
2018;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;102184;MWh
2018;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;31213;MWh
2018;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;104084;MWh
2018;;Winterthur;KVA Winterthur;KVA;Stromabsatz;96131;MWh
2018;;Dietikon;KV Limeco;KVA;Stromabsatz;54388;MWh
