"jahr";"ort";"bfsnr";"anlage";"rubrik";"thema";"wert";"einheit"
2005;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7'736";"MWh"
2005;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"8'329";"MWh"
2005;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"5'135";"MWh"
2005;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"5'563";"MWh"
2005;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"2'850";"MWh"
2005;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"6'398";"MWh"
2005;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"0";"MWh"
2006;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7980";"MWh"
2006;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7710.96";"MWh"
2006;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4651.2";"MWh"
2006;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"5856.75";"MWh"
2006;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"3420";"MWh"
2006;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"7051.47";"MWh"
2006;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8002.8";"MWh"
2007;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7274.91";"MWh"
2007;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7915.02";"MWh"
2007;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"5896.08";"MWh"
2007;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6122.37";"MWh"
2007;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"3420";"MWh"
2007;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"7511.46";"MWh"
2007;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9263.07";"MWh"
2008;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8251.89";"MWh"
2008;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7815.27";"MWh"
2008;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4163.85";"MWh"
2008;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6136.05";"MWh"
2008;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"0";"MWh"
2008;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"8146.44";"MWh"
2008;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9841.62";"MWh"
2009;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8730.69";"MWh"
2009;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"6552.72";"MWh"
2009;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4656.9";"MWh"
2009;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6067.65";"MWh"
2009;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"4807.95";"MWh"
2009;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"9164.46";"MWh"
2009;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"10093.56";"MWh"
2009;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"2098.74";"MWh"
2009;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"167.58";"MWh"
2009;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"3328.8";"MWh"
2009;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"2379.75";"MWh"
2010;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8420.04";"MWh"
2010;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7045.77";"MWh"
2010;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4192.35";"MWh"
2010;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"8493";"MWh"
2010;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"11605.77";"MWh"
2010;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"11817.24";"MWh"
2010;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9309.24";"MWh"
2010;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"1692.9";"MWh"
2010;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"199.5";"MWh"
2010;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"3126.45";"MWh"
2010;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"2373.48";"MWh"
2011;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"6997.89";"MWh"
2011;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7457.88";"MWh"
2011;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4031.61";"MWh"
2011;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6386.28";"MWh"
2011;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"11914.71";"MWh"
2011;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"9937.38";"MWh"
2011;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8658.87";"MWh"
2011;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"1745.34";"MWh"
2011;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"217.74";"MWh"
2011;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"2602.05";"MWh"
2011;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"2511.42";"MWh"
2012;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8227.38";"MWh"
2012;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7712.67";"MWh"
2012;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"3166.35";"MWh"
2012;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6003.24";"MWh"
2012;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"14788.08";"MWh"
2012;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"10352.34";"MWh"
2012;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9248.82";"MWh"
2012;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"1540.14";"MWh"
2012;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"219.45";"MWh"
2012;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"1824.57";"MWh"
2012;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"2627.7";"MWh"
2012;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"131.67";"MWh"
2013;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"9055.59";"MWh"
2013;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7474.41";"MWh"
2013;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"9635.28";"MWh"
2013;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6337.26";"MWh"
2013;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"14140.56";"MWh"
2013;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"10924.05";"MWh"
2013;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9710.52";"MWh"
2013;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"2974.83";"MWh"
2013;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"194.37";"MWh"
2013;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"1853.07";"MWh"
2013;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"2346.12";"MWh"
2013;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"516.42";"MWh"
2013;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"458.28";"MWh"
2013;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"206.34";"MWh"
2014;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"9754.41";"MWh"
2014;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"10846.53";"MWh"
2014;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7849.47";"MWh"
2014;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9035.07";"MWh"
2014;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6780.72";"MWh"
2014;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"17063.52";"MWh"
2014;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"4863.24";"MWh"
2014;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"13801.41";"MWh"
2014;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"4342.26";"MWh"
2014;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"236.55";"MWh"
2014;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"2700.66";"MWh"
2014;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"3060.9";"MWh"
2014;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"397.29";"MWh"
2014;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"584.25";"MWh"
2014;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"259.92";"MWh"
2015;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8772.87";"MWh"
2015;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"11065.98";"MWh"
2015;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"6889.02";"MWh"
2015;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8710.17";"MWh"
2015;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6496.86";"MWh"
2015;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"13353.39";"MWh"
2015;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"10531.32";"MWh"
2015;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"13903.44";"MWh"
2015;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"1252.29";"MWh"
2015;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"247.95";"MWh"
2015;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"1764.15";"MWh"
2015;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"1279.65";"MWh"
2015;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"99.75";"MWh"
2015;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"599.64";"MWh"
2015;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"431.49";"MWh"
2017;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7778.79";"MWh"
2017;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"12366.72";"MWh"
2017;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"5879.55";"MWh"
2017;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9497.91";"MWh"
2017;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6992.19";"MWh"
2017;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"14783.52";"MWh"
2017;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"12550.26";"MWh"
2017;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"14975.04";"MWh"
2017;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"1424.658";"MWh"
2017;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"469.68";"MWh"
2017;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"4829.838";"MWh"
2017;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"1325.022";"MWh"
2017;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"735.3";"MWh"
2017;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"650.142";"MWh"
2017;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"961.59";"MWh"
2018;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8365.89";"MWh"
2018;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"12184.89";"MWh"
2018;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"6695.22";"MWh"
2018;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9131.4";"MWh"
2018;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6291.66";"MWh"
2018;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"13937.64";"MWh"
2018;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"11717.49";"MWh"
2018;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"15420.21";"MWh"
2018;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"2416.914";"MWh"
2018;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"486.78";"MWh"
2018;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"4121.784";"MWh"
2018;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"1637.952";"MWh"
2018;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"783.18";"MWh"
2018;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"865.374";"MWh"
2018;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1002.516";"MWh"
2019;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7853.46";"MWh"
2019;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"13197.78";"MWh"
2019;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"5684.61";"MWh"
2019;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8807.64";"MWh"
2019;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6955.14";"MWh"
2019;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"13296.39";"MWh"
2019;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"12285.21";"MWh"
2019;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"17760.63";"MWh"
2019;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"5093.064";"MWh"
2019;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"462.84";"MWh"
2019;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"5731.464";"MWh"
2019;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"1900.608";"MWh"
2019;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"737.01";"MWh"
2019;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"691.524";"MWh"
2019;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1071.486";"MWh"
2020;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8769.45";"MWh"
2020;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"12079.44";"MWh"
2020;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7028.1";"MWh"
2020;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8742.66";"MWh"
2020;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6843.42";"MWh"
2020;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"13079.22";"MWh"
2020;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"11677.59";"MWh"
2020;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"18886.38";"MWh"
2020;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"5426.172";"MWh"
2020;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"398.43";"MWh"
2020;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"6519.432";"MWh"
2020;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"1972.2";"MWh"
2020;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"969.912";"MWh"
2020;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"647.748";"MWh"
2020;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1037.97";"MWh"
2021;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"9678.03";"MWh"
2021;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"11697.54";"MWh"
2021;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7678.47";"MWh"
2021;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8685.66";"MWh"
2021;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6589.2";"MWh"
2021;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"12313.14";"MWh"
2021;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"13780.89";"MWh"
2021;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"20353.56";"MWh"
2021;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"3429.12";"MWh"
2021;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"406.98";"MWh"
2021;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"7285.398";"MWh"
2021;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"2081.184";"MWh"
2021;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"986.67";"MWh"
2021;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"650.94";"MWh"
2021;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1091.322";"MWh"
2022;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"10841.4";"MWh"
2022;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"12238.47";"MWh"
2022;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"6429.03";"MWh"
2022;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"7377.51";"MWh"
2022;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6238.08";"MWh"
2022;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"11241.54";"MWh"
2022;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"12058.92";"MWh"
2022;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"16887.96";"MWh"
2022;"Küsnacht (ZH)";154;"Küsnacht BEZAG";"Wärme";"Biogene Abfälle";"2201.34";"MWh"
2022;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"3369.612";"MWh"
2022;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"476.52";"MWh"
2022;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"6775.02";"MWh"
2022;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"2206.926";"MWh"
2022;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"1118.112";"MWh"
2022;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"665.418";"MWh"
2022;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1352.268";"MWh"
2023;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"11464.41";"MWh"
2023;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"13277.009999999998";"MWh"
2023;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7102.7699999999995";"MWh"
2023;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8429.73";"MWh"
2023;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6893.579999999999";"MWh"
2023;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"12209.4";"MWh"
2023;"Winterthur";230;"Winterthur";"Wärme";"Biogene Abfälle";"13405.259999999998";"MWh"
2023;"Zürich";261;"Zürich";"Wärme";"Biogene Abfälle";"18616.199999999997";"MWh"
2023;"Küsnacht (ZH)";154;"Küsnacht BEZAG";"Wärme";"Biogene Abfälle";"2260.7339999999999";"MWh"
2023;"Dällikon";84;"Dällikon";"Wärme";"Biogene Abfälle";"4312.7340000000004";"MWh"
2023;"Dietlikon";54;"Dietlikon";"Wärme";"Biogene Abfälle";"461.7";"MWh"
2023;"Lindau";176;"Lindau";"Wärme";"Biogene Abfälle";"7256.5559999999987";"MWh"
2023;"Marthalen";35;"Marthalen";"Wärme";"Biogene Abfälle";"1804.1639999999998";"MWh"
2023;"Affoltern am Albis";1;"Affoltern, Zwillikon";"Wärme";"Biogene Abfälle";"1188.336";"MWh"
2023;"Volketswil";199;"Gutenswil";"Wärme";"Biogene Abfälle";"668.38199999999983";"MWh"
2023;"Wädenswil";293;"Wädenswil";"Wärme";"Biogene Abfälle";"1460.796";"MWh"
